epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,124.839,1.99186,3.28654,14.4335,0.00718,4.54253,0.48883,0.22843,0.22742,0.10949,0.48883,0.22843,0.22379,0.10825,1.80252,2.74984,2.91565,0.00767,0,0.000276475,0.000276475,0.000276475
2,250.432,1.96978,3.04529,4.26504,0.00705,2.17655,0.54003,0.36273,0.37298,0.22521,0.50261,0.40395,0.41457,0.2306,1.74658,2.72679,2.56302,0.00779,0,0.000550484,0.000550484,0.000550484
3,380.577,2.05222,3.04056,3.39861,0.00734,0.64151,0.50106,0.47517,0.44837,0.2088,0.49614,0.50827,0.44771,0.23255,1.99136,2.64166,2.45278,0.00896,0,0.000820828,0.000820828,0.000820828
4,514.193,2.02769,2.99541,3.14272,0.00743,0.61706,0.53087,0.59465,0.58144,0.29671,0.5173,0.58478,0.54505,0.26387,1.81659,2.5075,2.205,0.0082,0,0.000816507,0.000816507,0.000816507
5,650.234,2.01814,2.90333,2.87868,0.00758,0.61567,0.49315,0.59658,0.55201,0.30225,0.48077,0.58147,0.52305,0.27647,1.81149,2.5105,2.01935,0.0082,0,0.000811009,0.000811009,0.000811009
6,786.772,1.97437,2.80254,2.68498,0.00708,0.62306,0.57791,0.65752,0.64642,0.33334,0.59466,0.60441,0.63603,0.32746,1.84388,2.39465,1.8294,0.00836,0,0.000805511,0.000805511,0.000805511
7,922.384,1.93636,2.75293,2.47282,0.00697,0.61134,0.76027,0.62457,0.67296,0.34391,0.73728,0.60418,0.66101,0.33204,1.81101,2.46617,1.84098,0.00804,0,0.000800013,0.000800013,0.000800013
8,1061.18,1.91752,2.67479,2.35174,0.00684,0.60208,0.67882,0.56036,0.64509,0.35995,0.63439,0.60331,0.6678,0.34331,1.784,2.28924,1.80939,0.00797,0,0.000794515,0.000794515,0.000794515
9,1197.57,1.88908,2.63209,2.28024,0.00663,0.60173,0.63914,0.65194,0.7113,0.39088,0.6283,0.64433,0.72155,0.38462,1.74055,2.4424,1.71848,0.00786,0,0.000789018,0.000789018,0.000789018
10,1544.86,1.8826,2.59306,2.17981,0.00679,0.54843,0.70631,0.73397,0.73626,0.42092,0.70837,0.73078,0.7309,0.38327,1.724,2.45041,1.60296,0.00761,0,0.00078352,0.00078352,0.00078352
11,1925.67,1.83736,2.5455,2.11989,0.00648,0.53455,0.70125,0.71114,0.7649,0.42101,0.68084,0.70322,0.73787,0.39711,1.79439,2.38684,1.46592,0.00775,0,0.000778022,0.000778022,0.000778022
12,2310.42,1.83084,2.51478,2.07319,0.00666,0.5053,0.77869,0.61174,0.72749,0.42977,0.77869,0.61174,0.73657,0.41253,1.74271,2.32467,1.48109,0.00768,0,0.000772524,0.000772524,0.000772524
13,2689.01,1.82983,2.50361,2.01892,0.00651,0.49195,0.63247,0.7689,0.77007,0.42575,0.61681,0.78468,0.76704,0.42208,1.73196,2.31683,1.51564,0.00751,0,0.000767026,0.000767026,0.000767026
14,3036.2,1.78717,2.46814,1.87571,0.00631,0.47771,0.74788,0.67882,0.74765,0.45719,0.77146,0.72321,0.78956,0.44603,1.73775,2.33234,1.35136,0.00743,0,0.000761529,0.000761529,0.000761529
15,3416.12,1.80392,2.4409,1.90303,0.00651,0.45407,0.76065,0.69701,0.74561,0.43436,0.77092,0.72461,0.7798,0.41608,1.72122,2.41778,1.37128,0.00744,0,0.000756031,0.000756031,0.000756031
16,3793.81,1.78845,2.42028,1.87889,0.00621,0.4538,0.83709,0.58115,0.72087,0.41456,0.83561,0.58262,0.72543,0.4062,1.73122,2.32204,1.43903,0.00753,0,0.000750533,0.000750533,0.000750533
17,4067.58,1.76325,2.43146,1.84861,0.00617,0.42894,0.81331,0.71419,0.78812,0.46456,0.79662,0.70234,0.76732,0.41434,1.72635,2.27522,1.36673,0.00726,0,0.000745035,0.000745035,0.000745035
18,4201.96,1.74751,2.3765,1.76662,0.00606,0.4162,0.80195,0.68617,0.79725,0.438,0.8061,0.6947,0.80115,0.41955,1.70415,2.25772,1.44495,0.00713,0,0.000739537,0.000739537,0.000739537
19,4337.89,1.7427,2.35121,1.73086,0.00612,0.40194,0.65321,0.75164,0.77512,0.46973,0.68242,0.73309,0.77295,0.42868,1.67148,2.2912,1.30187,0.00737,0,0.00073404,0.00073404,0.00073404
20,4475.13,1.723,2.34194,1.6451,0.00615,0.3869,0.82584,0.82199,0.85772,0.54605,0.80985,0.80626,0.83918,0.50671,1.61491,2.25153,1.23094,0.00713,0,0.000728542,0.000728542,0.000728542
21,4606.92,1.71747,2.3444,1.68774,0.00589,0.39706,0.78626,0.80536,0.84087,0.50694,0.81321,0.7811,0.82332,0.51169,1.68213,2.24695,1.24519,0.00724,0,0.000723044,0.000723044,0.000723044
22,4742.78,1.68346,2.30871,1.65731,0.00589,0.37725,0.67565,0.77386,0.78192,0.47835,0.6681,0.76573,0.77141,0.44367,1.61201,2.25733,1.33758,0.00683,0,0.000717546,0.000717546,0.000717546
